dateTime,open,high,low,close
2019-01-16T10:50:59,1495.2,1495.5,1492.25,1493
2019-01-16T10:51:59,1493,1493.45,1492.05,1492.25
2019-01-16T10:52:59,1492.25,1492.5,1491.6,1492
2019-01-16T10:53:59,1492,1493,1492,1493
2019-01-16T10:54:59,1493,1493,1492.5,1492.5
2019-01-16T10:55:59,1492.5,1492.5,1492,1492.4
2019-01-16T10:56:59,1492.4,1492.4,1491.2,1491.2
2019-01-16T10:57:59,1491.2,1491.8,1491.1,1491.1
2019-01-16T10:58:59,1491.45,1491.9,1490,1490.85
2019-01-16T10:59:59,1490.5,1491,1488.85,1490
2019-01-16T11:00:59,1490,1490,1488.9,1488.9
2019-01-16T11:01:59,1488.8,1489.5,1488.6,1488.65
2019-01-16T11:02:59,1488.9,1490,1488.7,1489.25
2019-01-16T11:03:59,1489.25,1489.8,1488.45,1488.6
2019-01-16T11:04:59,1488.6,1489.35,1488.45,1488.5
2019-01-16T11:05:59,1489,1489,1486.2,1486.9
2019-01-16T11:06:59,1486.9,1487.55,1484.25,1485.05
2019-01-16T11:07:59,1485.95,1486,1482.4,1482.4
2019-01-16T11:08:59,1482.4,1483.45,1480.9,1483
2019-01-16T11:09:59,1483,1484.1,1482,1482
2019-01-16T11:10:59,1483,1483.05,1481.5,1482.1
2019-01-16T11:11:59,1482.1,1482.1,1480.65,1481.1
2019-01-16T11:12:59,1481.1,1482.9,1481.1,1482.55
2019-01-16T11:13:59,1482.8,1483,1482.5,1482.55
2019-01-16T11:14:59,1482.45,1482.95,1482,1482.85
2019-01-16T11:15:59,1482.45,1482.95,1482,1482.05
2019-01-16T11:16:59,1482.35,1482.35,1481.55,1481.55
2019-01-16T11:17:59,1482.35,1482.35,1481.2,1481.2
2019-01-16T11:18:59,1481.9,1481.9,1481,1481
2019-01-16T11:19:59,1481,1481.15,1479.5,1479.5
2019-01-16T11:20:59,1480,1480,1477.85,1479.45
2019-01-16T11:21:59,1478.4,1479.7,1478.4,1478.65
2019-01-16T11:22:59,1478.65,1480.3,1478.65,1480
2019-01-16T11:23:59,1479,1479,1478.5,1478.7
2019-01-16T11:24:59,1479.5,1481.95,1479.45,1481.95
2019-01-16T11:25:59,1481.95,1483,1480.25,1483
2019-01-16T11:26:59,1483,1484.2,1482.1,1483
2019-01-16T11:27:59,1482.5,1482.7,1481.55,1482.55
2019-01-16T11:28:59,1482.55,1482.9,1482.55,1482.9
2019-01-16T11:29:59,1482.9,1483,1481.55,1482.75
2019-01-16T11:30:59,1482.75,1482.75,1482,1482
2019-01-16T11:31:59,1482,1483,1482,1482
2019-01-16T11:32:59,1482,1482.6,1482,1482.6
2019-01-16T11:33:59,1482.6,1483,1482.05,1482.05
2019-01-16T11:34:59,1482.05,1482.9,1482.05,1482.9
2019-01-16T11:35:59,1482.9,1482.9,1482.1,1482.9
2019-01-16T11:36:59,1482.9,1482.9,1482.7,1482.9
2019-01-16T11:37:59,1482.9,1483,1482.9,1482.9
2019-01-16T11:38:59,1482.9,1482.9,1481.5,1481.5
2019-01-16T11:39:59,1481.5,1482.05,1481,1481
2019-01-16T11:40:59,1481,1482.85,1481,1482.85
2019-01-16T11:41:59,1482.9,1483.25,1482.6,1483.25
2019-01-16T11:42:59,1483.25,1483.25,1481.95,1482
2019-01-16T11:43:59,1482,1482.95,1482,1482
2019-01-16T11:44:59,1482,1483,1481.7,1481.7
2019-01-16T11:45:59,1481.45,1482.6,1481.45,1482.4
2019-01-16T11:46:59,1482.4,1482.8,1481.5,1482.2
2019-01-16T11:47:59,1482.2,1482.2,1481.6,1482.2
2019-01-16T11:48:59,1482.2,1482.2,1482,1482
2019-01-16T11:49:59,1482,1482,1481.8,1482
2019-01-16T11:50:59,1481.7,1482,1481.7,1482
2019-01-16T11:51:59,1482,1482,1481.5,1481.5
2019-01-16T11:52:59,1481.5,1482,1481.5,1482
2019-01-16T11:53:59,1482,1482,1481.95,1481.95
2019-01-16T11:54:59,1481.95,1482.2,1481.5,1482.2
2019-01-16T11:55:59,1482.2,1482.2,1481.5,1481.5
2019-01-16T11:56:59,1481.5,1482,1481.5,1482
2019-01-16T11:57:59,1481.7,1481.8,1481.25,1481.65
2019-01-16T11:58:59,1481.65,1481.8,1480,1480
2019-01-16T11:59:59,1480,1480,1478.4,1478.55
2019-01-16T12:00:59,1478.6,1479.95,1478.6,1478.8
2019-01-16T12:01:59,1478.75,1480.1,1478.75,1479.65
